time,soc
1709856000000000000,100
1709859600000000000,96
1709863200000000000,90
1709866800000000000,87
1709870400000000000,85
1709874000000000000,82
1709877600000000000,78
1709881200000000000,72
1709884800000000000,67
1709888400000000000,62
1709892000000000000,61
1709895600000000000,58
1709899200000000000,57
1709902800000000000,54
1709906400000000000,53
1709910000000000000,51
1709913600000000000,50
1709917200000000000,48
1709920800000000000,46
1709924400000000000,44
1709928000000000000,40
1709931600000000000,39
1709935200000000000,35
1709938800000000000,28
